Title,Rating,Votes,Duration,Genre
Motel Destino,6.5, 1.7K,1h 55m,thriller
The Kingdom,6.9,810,1h 52m,thriller
Marmalade,6.3, 3.6K,1h 39m,thriller
The Roundup: Punishment,6.6, 5.3K,1h 49m,thriller
The Hostage,6,11,1h 27m,thriller
The Painter,4.7, 2.3K,1h 40m,thriller
Life After Fighting,6.4, 2K,2h 6m,thriller
Prey,3.7, 3.3K,1h 26m,thriller
Strictly Confidential,2.8,854,1h 34m,thriller
Mafia Wars,3.5,247,1h 34m,thriller
The Courier,6, 4.4K,1h 41m,thriller
"I, the Executioner",6.3, 1.8K,1h 58m,thriller
Viduthalai Part 2,7.8, 16K,2h 50m,thriller
It's a Good Day to Die,4.7,57,1h 27m,thriller
Sookshma Darshini,7.8, 10K,2h 22m,thriller
Outbreak,4.4,850,1h 28m,thriller
Karma,8, 1.4K,2h 47m,thriller
Jigra,6, 24K,2h 33m,thriller
Singham Again,4.7, 75K,2h 24m,thriller
Utopia,3.6,367,1h 31m,thriller
Held Hostage in My House,4.7,136,1h 30m,thriller
Crescent City,3.9, 1.4K,1h 43m,thriller
Maldoror,7,649,2h 35m,thriller
Devara Part 1,6, 20K,2h 56m,thriller
The Thundermans Return,5, 1.8K,1h 10m,thriller
River of Blood,5.1, 1.8K,1h 26m,thriller
Shell,6.5,72,1h 40m,thriller
Dominique,5.3, 2.2K,1h 40m,thriller
One More Shot,5.4, 3.7K,1h 43m,thriller
Raqa,5.6,235,1h 47m,thriller
Cora,4.6,885,1h 44m,thriller
DarkGame,4.6, 2.8K,1h 40m,thriller
Latency,4.2, 2.7K,1h 34m,thriller
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1, 8.5K,1h 44m,thriller
Manjummel Boys,8.2, 27K,2h 15m,thriller
Gazer,6.1,153,1h 54m,thriller
Bogota: City of the Lost,5.4, 1.9K,1h 48m,thriller
40 Acres,6.9,138,1h 53m,thriller
Bougainvillea,6.4, 3.2K,2h 18m,thriller
Case of Kondana,5.8,676,2h 23m,thriller
Queen of Bones,4.9,206,1h 30m,thriller
House of Spoils,5, 3.8K,1h 41m,thriller
Cinderella's Revenge,3.7, 1.1K,1h 25m,thriller
Escape,6.4, 2K,1h 34m,thriller
Shark Warning,3.4,291,1h 34m,thriller
Mørkeland,6.2, 1K,1h 39m,thriller
Lazareth,4.4,938,1h 26m,thriller
Sunrise,3.8, 1.1K,1h 33m,thriller
The Contract,6.7,62,1h 45m,thriller
Maharaj,6.5, 15K,2h 11m,thriller
#AMFAD: All My Friends Are Dead,4.4, 1.2K,1h 31m,thriller
The Wages of Fear,4.6, 4.1K,1h 44m,thriller
Tyler Perry's Divorce in the Black,4.6, 3.6K,2h 23m,thriller
Rippy,4.1,871,1h 23m,thriller
Black Eyed Susan,4.9,340,1h 25m,thriller
CTRL,6.2, 6.1K,1h 39m,thriller
Bangkok Dog,4.8,203,1h 25m,thriller
Darkness of Man,4.8, 3.2K,1h 49m,thriller
Cheat,4.2,206,1h 45m,thriller
Waves,8, 1.7K,2h 11m,thriller
Joe Baby,7.3,33,1h 26m,thriller
The Clean Up Crew,4.1, 1.2K,1h 35m,thriller
The Sand Castle,4.7, 1.7K,1h 38m,thriller
Air Force One Down,4.4, 2.9K,1h 24m,thriller
Lights Out,4.9, 1.8K,1h 30m,thriller
Steppenwolf,6.5,266,1h 42m,thriller
Cold Wallet,5.1,498,1h 33m,thriller
Love Me Dead,6.6,39,1h 27m,thriller
Hidden Face,6.1,553,1h 55m,thriller
Death Whisperer 2,6.4, 1.4K,1h 50m,thriller
Article 370,7.8, 25K,2h 38m,thriller
A Desert,6.3,167,1h 43m,thriller
Zero,6,73,1h 28m,thriller
The Price of Money: A Largo Winch Adventure,5, 1.2K,1h 40m,thriller
The Stalking,3.6,43,1h 12m,thriller
Guns & Moses,8.2,47,1h 34m,thriller
All the Lost Ones,3.7,255,1h 46m,thriller
You Can't Run Forever,4.5, 4.3K,1h 42m,thriller
Compulsion,6.3,13,1h 34m,thriller
Cult Killer,4.8, 2.8K,1h 45m,thriller
Why Do You?,5.3,434,1h 43m,thriller
Succubus,3.5,850,1h 36m,thriller
Hijack '93,3.8,875,1h 27m,thriller
Peter Five Eight,3.5, 1.1K,1h 40m,thriller
The Silent Planet,4.8,239,1h 35m,thriller
Escape,5.8, 1K,2h 9m,thriller
Taboo: Family Secrets,7.4,745,1h 35m,thriller
Thalavan,7.2, 4.7K,2h 11m,thriller
Ulajh,6, 24K,2h 30m,thriller
Shaitaan,6.5, 54K,2h 12m,thriller
Spring Garden,4.4,182,1h 30m,thriller
Seven Cemeteries,4.6,625,1h 24m,thriller
The Image of You,4.6,846,1h 30m,thriller
Parallel,5.3, 2K,1h 28m,thriller
Despatch,4.3, 4.4K,2h 33m,thriller
Frankenstein: Legacy,3.7,201,1h 41m,thriller
Goldilocks and the Three Bears: Death and Porridge,2.1, 1.7K,1h 22m,thriller
Blame the Game,5.4, 5.2K,1h 32m,thriller
Anweshippin Kandethum,7.4, 10K,2h 22m,thriller
Kidnapping Inc.,6.4,275,1h 47m,thriller
Saripodhaa Sanivaaram,7, 9.1K,2h 46m,thriller
Dard,6.8, 1.9K,2h 36m,thriller
Salawahan,5.2,458,1h 56m,thriller
Alien: Rubicon,2.4,346,1h 26m,thriller
King Ivory,7.1,67,2h 10m,thriller
Heart of the Hunter,4.7, 2.2K,1h 45m,thriller
Black Cab,4.2, 1.7K,1h 28m,thriller
Out Come the Wolves,4.7, 1.5K,1h 26m,thriller
Ghost Trail,6.6,866,1h 46m,thriller
Vedaa,6, 4.3K,2h 25m,thriller
Svemu dodje kraj,6.4,331,1h 29m,thriller
Last Night on Earth,4.7,364,1h 26m,thriller
Clear Cut,3.7,561,1h 28m,thriller
In the Name of Blood,6.1,133,1h 48m,thriller
Mom,5.2,189,1h 35m,thriller
Hard Home,4,644,1h 27m,thriller
The Diary,5,931,1h 22m,thriller
American Star,5.5, 2.5K,1h 47m,thriller
Jewel Thief,6, 1K,2h 2m,thriller
Hijack 1971,6.8, 3.3K,1h 40m,thriller
Gin Ke Dus,7.6,58,1h 55m,thriller
We Are Wolves,3.5,263,1h 37m,thriller
Race for Glory: Audi vs. Lancia,5.8, 4.8K,1h 49m,thriller
Arena Wars,4.8, 2.1K,1h 36m,thriller
Are You There?,7,51,1h 28m,thriller
Merry Christmas,6.9, 30K,2h 24m,thriller
Laws of Man,5.6, 1.3K,1h 38m,thriller
Grave Torture,6.2, 2.9K,1h 57m,thriller
Boundless,5.6, 1.9K,2h 1m,thriller
Elyas,6.1, 1.4K,1h 45m,thriller
Continental Split,3.6,549,1h 28m,thriller
Scorched Earth,6.7,552,1h 41m,thriller
Sorgavaasal,6.6, 1.4K,2h 18m,thriller
The Sabarmati Report,6.4, 24K,2h 7m,thriller
Angels Fallen: Warriors of Peace,4.9, 5.8K,1h 43m,thriller
Milk & Serial,6.6, 2.5K,1h 2m,thriller
Strangers,4.3,390,1h 46m,thriller
Wynonna Earp: Vengeance,5.6, 1.5K,1h 36m,thriller
The Last Front,5.5,616,1h 38m,thriller
Hisaab Barabar,5.8, 1.8K,1h 52m,thriller
Butas,5,151,1h 52m,thriller
Cinderella's Curse,3.3, 1.3K,1h 22m,thriller
Chime,6.4, 2.3K,45m,thriller
Freedom,5.9, 1.4K,1h 50m,thriller
The Greatest of All Time,5.7, 23K,3h 3m,thriller
Following,6.5, 1.3K,1h 42m,thriller
Kryptic,6.3,100,1h 36m,thriller
Please Don't Feed the Children,5.5,68,1h 34m,thriller
Here Now,4.9,422,1h 58m,thriller
Three Kilometres to the End of the World,7,929,1h 45m,thriller
Ghost Game,3.4,323,1h 26m,thriller
Raayan,6.5, 11K,2h 25m,thriller
Scopophobia,5.8,56,1h 40m,thriller
Savi,6.1, 35K,2h 6m,thriller
Stolen,5.7, 2.2K,1h 45m,thriller
Maid Droid Origins,3,322,1h 36m,thriller
The Bad Shepherd,4.3,796,1h 31m,thriller
Disciples in the Moonlight,4,648,2h 6m,thriller
The Ruse,8.1,111,1h 45m,thriller
Wanted Man,4.8, 2.6K,1h 25m,thriller
Saint Clare,7.6,90,1h 32m,thriller
Operation Blood Hunt,3.4,490,1h 33m,thriller
Demise,4.1,315,2h 15m,thriller
